n	n:500	L50	min	N80	N50	N20	E-size	max	sum	name
231	112	30	505	1256	2099	3855	2437	5644	193913	hsapiens-unitigs.fa
73	40	9	683	3886	7265	13377	9395	20978	209963	hsapiens-contigs.fa
66	33	7	683	4805	8594	20978	10992	21934	209963	hsapiens-scaffolds.fa
