n	n:500	L50	min	N80	N50	N20	E-size	max	sum	name
141	72	19	503	1996	3588	6421	4298	12025	203096	hsapiens-unitigs.fa
53	36	6	549	3786	8756	22971	12653	23566	207422	hsapiens-contigs.fa
47	30	5	549	4941	16449	22971	14781	28102	207387	hsapiens-scaffolds.fa
