n	n:500	L50	min	N80	N50	N20	E-size	max	sum	name
455	83	18	517	1656	3217	6804	3964	8764	194063	hsapiens-unitigs.fa
85	29	8	553	5844	10600	15468	11035	20309	210065	hsapiens-contigs.fa
79	23	5	553	8367	17858	23793	17148	28667	209962	hsapiens-scaffolds.fa
