n,n:500,L50,min,N80,N50,N20,E-size,max,sum,name
421,85,19,501,1661,3066,6474,3817,8829,195159,hsapiens-unitigs.fa
159,46,9,580,4005,8329,13777,8558,15713,204449,hsapiens-contigs.fa
156,43,7,580,4005,9467,15713,10416,22779,204271,hsapiens-scaffolds.fa
