n	n:500	L50	min	N80	N50	N20	E-size	max	sum	name
145	66	16	531	2138	4157	7750	5192	14874	203117	hsapiens-unitigs.fa
29	22	4	1873	7356	16451	51033	22165	51033	208715	hsapiens-contigs.fa
27	20	4	1873	7356	16451	51033	22590	51033	208715	hsapiens-scaffolds.fa
