n,n:500,L50,min,N80,N50,N20,E-size,max,sum,name
553,80,18,513,1542,3215,6937,3954,8696,189368,hsapiens-unitigs.fa
106,28,6,550,7688,13330,20312,13731,28480,209925,hsapiens-contigs.fa
103,25,4,550,7726,19308,28480,18888,37699,209925,hsapiens-scaffolds.fa
