n	n:500	L50	min	N80	N50	N20	E-size	max	sum	name
231	112	30	505	1256	2099	3855	2437	5644	193913	hsapiens-unitigs.fa
69	40	9	683	3886	7265	13377	9385	20978	210314	hsapiens-contigs.fa
61	32	7	683	4943	8594	20978	11240	21934	210314	hsapiens-scaffolds.fa
