n	n:500	L50	min	N80	N50	N20	E-size	max	sum	name
231	112	30	505	1256	2099	3855	2437	5644	193913	hsapiens-unitigs.fa
177	85	15	505	1412	4022	7961	5012	14031	198263	hsapiens-contigs.fa
163	71	11	505	1550	6308	12030	6896	15610	198175	hsapiens-scaffolds.fa
